 0.45  0.98 -0.87  0.76  0.76  0.87 -0.65  0.65  0.56  0.87
 0.88 -0.88 -0.76  0.76  0.87  0.65 -0.65  0.56  0.89  0.76
 0.87  0.11  0.76  0.71  0.87  0.16  0.87  0.87 -0.45  0.45
 0.16  0.87  0.16  0.87 -0.76  0.87 -0.67 -0.81  0.45  0.76
-0.81  0.98  0.37  0.76  0.71  0.87  0.16  0.87 -0.76  0.87
-0.76  0.87 -0.67 -0.81  0.98  0.75  0.76  0.87 -0.45  0.55
 0.71  0.87 -0.45  0.45  0.16  0.87 -0.76  0.87 -0.67 -0.81
 0.98  0.87  0.76  0.87 -0.45  0.45  0.37  0.76  0.75 -0.50
-0.67 -0.81  0.98  0.75 -0.50  0.72  0.87 -0.45  0.45  0.16
 0.87 -0.67 -0.81  0.98  0.75 -0.50  0.72  0.87 -0.45  0.45
 0.87  0.75 -0.50 -0.88  0.98  0.74  0.53  0.71  0.87 -0.45
 0.11  0.76  0.87  0.16  0.98  0.37  0.87 -0.67  0.87 -0.45
 0.87  0.76  0.37  0.76  0.71  0.87  0.16  0.87 -0.76  0.87
-0.45  0.45  0.16  0.87  0.76  0.87 -0.45  0.45  0.16  0.87
 0.76  0.87 -0.45  0.45  0.37  0.87 -0.67 -0.81  0.98  0.75
 0.16  0.87  0.87 -0.45  0.87  0.65 -0.65  0.56  0.16  0.87
 0.87 -0.67 -0.81  0.45  0.87  0.16  0.87  0.87  0.37  0.76
 0.87  0.16  0.87 -0.76  0.76  0.87 -0.67 -0.81 -0.67 -0.81
 0.75  0.76  0.87 -0.45  0.71  0.87  0.16  0.87 -0.45  0.45
 0.87 -0.76  0.87 -0.67  0.98  0.75  0.76  0.87  0.76  0.87
 0.45  0.37  0.76  0.75  0.16  0.87 -0.76  0.87  0.98  0.75
 0.72  0.87 -0.45  0.45  0.45  0.45  0.37  0.76 -0.81  0.98
 0.50  0.72  0.87 -0.45  0.50  0.72  0.87 -0.45 -0.50 -0.88
 0.74  0.53  0.71  0.87  0.75 -0.50  0.72  0.87  0.87  0.16
 0.37  0.87 -0.67  0.87  0.98  0.74  0.53  0.71  0.37  0.76
 0.87  0.16  0.87 -0.76  0.98  0.37  0.87 -0.67  0.16  0.87
 0.87 -0.45  0.45  0.16  0.71  0.87  0.16  0.87 -0.76  0.76
 0.87 -0.67 -0.81  0.98  0.76  0.87 -0.45  0.45  0.76  0.71
 0.75 -0.50 -0.88  0.98  0.74  0.53  0.71  0.87  0.11  0.76
 0.76  0.87  0.16  0.98  0.37  0.87 -0.67  0.87  0.87  0.76
 0.76  0.37  0.76  0.71  0.87  0.16  0.87 -0.76 -0.45  0.45
 0.45  0.16  0.87  0.76  0.87 -0.45  0.45  0.16  0.76  0.87
 0.87 -0.45  0.45  0.37  0.87 -0.67 -0.81  0.98  0.16  0.87
 0.87  0.87 -0.45  0.87  0.65 -0.65  0.56  0.16  0.87 -0.67
 0.67 -0.81  0.45  0.87  0.16  0.87  0.87  0.37  0.87  0.16
 0.16  0.87 -0.76  0.76  0.87 -0.67 -0.81 -0.67  0.75  0.76
 0.76  0.87 -0.45  0.71  0.87  0.16  0.87 -0.45  0.87 -0.76
 0.76  0.87 -0.67  0.98  0.75  0.76  0.87  0.76  0.45  0.37
 0.37  0.76  0.75  0.16  0.87 -0.76  0.87  0.98  0.72  0.87
 
